"x"
25
22
17
21
20
13
16
14
19
10
23
20
19
15
16
16
12
15
15
15
15
17
18
16
18
22
20
21
21
21
25
22
18
21
18
20
25
20
18
19
16
16
16
26
28
28
30
32
28
36
40
33
33
