"x"
24
16
24
18
18
10
14
16
18
20
21
20
21
15
16
15
17
19
16
15
15
13
24
22
21
24
15
20
20
25
27
22
20
24
24
23
29
27
23
19
25
15
16
27
27
30
29
26
25
25
32
28
25
